Time (s),PF,RR,BAT,MT
0.200214,4076.680000,4076.680000,4076.680000,4076.680000
0.201214,4076.560000,4076.560000,4076.560000,4076.560000
0.202214,4076.440000,4076.440000,4076.440000,4076.440000
0.203214,4076.330000,4076.330000,4076.330000,4076.330000
0.204214,4076.210000,4076.210000,4076.210000,4076.210000
0.205214,4076.090000,4076.090000,4076.090000,4076.090000
0.206214,4075.980000,4075.980000,4075.980000,4075.980000
0.207214,4075.860000,4075.860000,4075.860000,4075.860000
0.208214,4075.740000,4075.740000,4075.740000,4075.740000
0.209214,4075.630000,4075.630000,4075.630000,4075.630000
0.210214,4075.510000,4075.510000,4075.510000,4075.510000
0.211214,4075.390000,4075.390000,4075.390000,4075.390000
0.212214,4075.280000,4075.280000,4075.280000,4075.280000
0.213214,4075.160000,4075.160000,4075.160000,4075.160000
0.214214,4075.040000,4075.040000,4075.040000,4075.040000
0.215214,4074.930000,4074.930000,4074.930000,4074.930000
0.216214,4074.810000,4074.810000,4074.810000,4074.810000
0.217214,4074.690000,4074.690000,4074.690000,4074.690000
0.218214,4074.580000,4074.580000,4074.580000,4074.580000
0.219214,4074.460000,4074.460000,4074.460000,4074.460000
0.220214,4074.350000,4074.350000,4074.350000,4074.350000
0.221214,4074.230000,4074.230000,4074.230000,4074.230000
0.222214,4074.110000,4074.110000,4074.110000,4074.110000
0.223214,4074.000000,4074.000000,4074.000000,4074.000000
0.224214,4073.880000,4073.880000,4073.880000,4073.880000
0.225214,4073.760000,4073.760000,4073.760000,4073.760000
0.226214,4073.650000,4073.650000,4073.650000,4073.650000
0.227214,4073.530000,4073.530000,4073.530000,4073.530000
0.228214,4073.410000,4073.410000,4073.410000,4073.410000
0.229214,4073.300000,4073.300000,4073.300000,4073.300000
0.230214,4073.180000,4073.180000,4073.180000,4073.180000
0.231214,4073.060000,4073.060000,4073.060000,4073.060000
0.232214,4072.950000,4072.950000,4072.950000,4072.950000
0.233214,4072.830000,4072.830000,4072.830000,4072.830000
0.234214,4072.720000,4072.720000,4072.720000,4072.720000
0.235214,4072.600000,4072.600000,4072.600000,4072.600000
0.236214,4072.480000,4072.480000,4072.480000,4072.480000
0.237214,4072.370000,4072.370000,4072.370000,4072.370000
0.238214,4072.250000,4072.250000,4072.250000,4072.250000
0.239214,4072.130000,4072.130000,4072.130000,4072.130000
0.240214,4072.020000,4072.020000,4072.020000,4072.020000
0.241214,4071.900000,4071.900000,4071.900000,4071.900000
0.242214,4071.780000,4071.780000,4071.780000,4071.780000
0.243214,4071.670000,4071.670000,4071.670000,4071.670000
0.244214,4071.550000,4071.550000,4071.550000,4071.550000
0.245214,4071.430000,4071.430000,4071.430000,4071.430000
0.246214,4071.320000,4071.320000,4071.320000,4071.320000
0.247214,4071.200000,4071.200000,4071.200000,4071.200000
0.248214,4071.090000,4071.090000,4071.090000,4071.090000
0.249214,4070.970000,4070.970000,4070.970000,4070.970000
0.250214,4070.850000,4070.850000,4070.850000,4070.850000
0.251214,4070.740000,4070.740000,4070.740000,4070.740000
0.252214,4070.620000,4070.620000,4070.620000,4070.620000
0.253214,4070.500000,4070.500000,4070.500000,4070.500000
0.254214,4070.390000,4070.390000,4070.390000,4070.390000
0.255214,4070.270000,4070.270000,4070.270000,4070.270000
0.256214,4070.160000,4070.160000,4070.160000,4070.160000
0.257214,4070.040000,4070.040000,4070.040000,4070.040000
0.258214,4069.920000,4069.920000,4069.920000,4069.920000
0.259214,4069.810000,4069.810000,4069.810000,4069.810000
0.260214,4069.690000,4069.690000,4069.690000,4069.690000
0.261214,4069.570000,4069.570000,4069.570000,4069.570000
0.262214,4069.460000,4069.460000,4069.460000,4069.460000
0.263214,4069.340000,4069.340000,4069.340000,4069.340000
0.264214,4069.230000,4069.230000,4069.230000,4069.230000
0.265214,4069.110000,4069.110000,4069.110000,4069.110000
